id,meal_name,common_name,image_url,description,prep_time,servings,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,difficulty,estimated_cost_php,availability,tags,role_fit,meal_type,dietary_restrictions,ingredients,popularity_score
F051,"Cake, banana","Cake, banana",https://www.allrecipes.com/thmb/kU5_wRjlF_5Ozm_9EUnnEN6o7IY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9293326-a-number-1-banana-cake-Charice-Lecointe-1x1-1-49bc9e4417a14a7ea5ff5f45e6671878.jpg,"Homemade banana cake made with ripe bananas, flour, sugar, eggs, and butter ? a sweet snack or dessert.",60 min,12 slices,323,3.7,61.1,7.85,1.4,42.7,285,32,Medium,180,availability,Dessert; baked good,"Students, workers, families",Snack/Dessert,"Contains wheat, eggs, dairy; contains banana","Ripe banana, flour (wheat), sugar, eggs, butter (or oil), baking powder, salt, optionally nuts or milk",5
F052,"Banana, lacatan","Saging, lakatan",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtjIAbJ5Y3BeC50IngfdUOqqUF08WeNschgQ&s,"Fresh ripe Lakatan banana (raw, peeled)",2min,1 medium,126,1.4,29.6,0.2,3.3,15.6,~2,0,Easy,12-Jan,year-round,Fruit; dessert snack,"Family, Students, Workers",Snack/Fruit,Vegan; contains banana,"Banana (Musa ? paradisiaca, Lakatan variety)",5
F053,"Banana, cavendish, ripe","Saging, cavendish, hinog",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1DciOcwqZ2O6Hr-NfYHB-4V6W0BAZdw3pCLIi0TRQrtZL7BzSXQHR086csj9Oi3D472U&usqp=CAU,"Fresh ripe Cavendish banana (raw, peeled)",2min,1 medium,104,0.9,23.1,0.9,2.7,12.5,~13,0,Easy,10,year-round,Fruit; dessert snack,"Family, Students, Workers",Snack/Fruit,Vegan; contains banana,"Banana (Musa ? paradisiaca, Cavendish variety)",5
F054,"Banana, latundan","Saging, latundan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ripe_latundan_bananas.jpg,"Fresh ripe Latundan banana (raw, peeled)",2min,1 medium,105,1.2,24.4,0.3,2.8,13,~3,0,Easy,11,year-round,Fruit; dessert snack,"Family, Students, Workers",Snack/Fruit,Vegan; contains banana,"Banana (Musa ? paradisiaca, Latundan variety)",5
F055,"Banana, murado","Saging, murado",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2oEJ0IyuIFy8KeeSTzyqpTbLovi7JA4hSPeSNyrdHuE2JidOsWOYA3aWP_5zQD6EJXZQ&usqp=CAU,"Fresh ripe Murado banana (raw, peeled)",2min,1 medium,107,1.2,24.5,0.5,2.8,13.1,~2,0,Easy,12,year-round,Fruit; dessert snack,"Family, Students, Workers",Snack/Fruit,Vegan; contains banana,"Banana (Musa ? paradisiaca, Murado variety)",5
F056,"Banana, saba","Saging, saba",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgx4SMxO3mGmQxFdy0HpqeUKkedv6Gbi-SaDTFGtxi84HmNO2FJAvyo1rljwMjxS7QVCGS6bj69oo6hpABi9nvoeQY9z4W8Pkduzt-hbTDeQ_RKAAA9iR4-le6EiX5TSU_c6Xf9trZ8jdE/?imgmax=800,"Fresh raw Saba banana (peeled, edible portion)",2min,1,110,1.1,25.5,0.4,2.9,13.6,~2,0,Easy,20-Jan,year-round,Fruit; cooking banana,"Family, Students, Workers",Snack/Fruit,Vegan; contains banana,"Banana (Musa ? paradisiaca, Saba variety)",5
F057,"Banana, saba, boiled	","Saging, saba, nilaga",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYCNuBxadE91jQqGeJpdkZnwXJ4bSQGMDCuQ&s,"Boiled Saba banana (peeled, edible portion)",5 min,1,159,1.2,38.6,0,4.2,19.9,~2,0,Easy,15,year-round,Cooked fruit,"Family, Students, Workers",Snack / Side,Vegan; contains banana,Boiled Saba banana,5
F058,"Banana, ternate","Saging, ternate",https://www.researchgate.net/profile/Johannes-Van-Der-Waal/publication/337085021/figure/fig5/AS:822598518702090@1573134178573/Pisang-Tongkat-Langit-Panjang-Long-Sky-Hold-Banana-Musa-troglodytarum-L-of-plantain_Q320.jpg,"Fresh raw Ternate banana (peeled, edible portion) ? cooking/dessert banana from Philippines",2 min,1,110,1.1,25.5,0.4,2.9,13.6,~2,0,Easy,12,seasonal/year-round,Fruit; cooking banana,"Family, Students, Workers",Snack/Fruit,Vegan; contains banana,"Banana (Musa ? paradisiaca, Ternate variety) ? assumed similar to Saba banana",5
F059,"Banana, saba, mashed, w/ sugar & marg","Linupak, saging saba",https://kusinasecrets.com/wp-content/uploads/2024/12/u3317447599_httpss.mj_.runVLv8VZnsu6g_top_down_view_of_Traditi_87328422-210a-49f2-8410-f18012c1d89f_1-500x500.jpg,Mashed Saba banana prepared with added sugar and margarine (typical snack),5 min,1,204,1.4,41.4,3.6,1.7,32,140,0,Easy,20,year-round,Snack; prepared banana,"Family, Students, Workers",Snack/Dessert,Contains banana; may contain margarine (dairy/vegetable fat),"Boiled Saba banana, sugar, margarine",5
F060,"Papaya fruit, medium ripe","Papaya fruit, medium ripe",https://dww3ueizok6z0.cloudfront.net/food/banner/779-16e3123bdf949696243739e9b46ec29c55a50669,"Fresh ripe papaya, peeled and sliced, edible portion",3 min,1,~80,1.4-1.75,24-30,0.4-0.5,5-Apr,18-22,~6,0,Easy,25,year-round,Fruit; tropical fruit,"Family, Students, Workers",Snack/Fruit,Vegan; contains papaya,"Papaya (Carica papaya), ripe fruit flesh",5
F061,"Papaya fruit, ripe","Papaya fruit, ripe","https://img.etimg.com/thumb/msid-123633656,width-480,height-360,imgsize-2094836,resizemode-75/papaya.jpg","Fresh pineapple, peeled and sliced, edible portion",3 min,1 cup,~80,~0.8,~18,~0.3,~3.0,~13,~5,0,Easy,25,year-round,Fruit; tropical fruit,"Family, Students, Workers",Snack/Fruit,Vegan; contains papaya,"Papaya (Carica papaya), ripe fruit flesh",5
F062,Pineapple,Pinya,https://cdn2.stylecraze.com/wp-content/uploads/2013/04/9-Powerful-Health-Benefits-Of-Pineapple-And-Nutrition-Facts.jpg.webp,Fresh calamansi (juice or wedges) ? edible portion of fruit/juice,3 min,1 cup,~82,~0.9,~22,~0.2,~2.3,~16,~1,0,Easy,30,year-round,Fruit; tropical fruit,"Family, Students, Workers",Snack/Fruit,Vegan; contains pineapple,"Pineapple (Ananas comosus), raw flesh",5
F063,Calamansi/Philippine lemon,Kalamansi/Calamondin,https://cdn.shopify.com/s/files/1/0557/4269/3571/files/calamansi-fruit_1_1024x1024.jpg?v=1700054424,Fresh durian pulp (edible portion),2 min,1 medium,~15-20*,~0.2*,~5-6*,~0.1*,~0.7*,~4-5*,~1,0,Easy,8,year-round,Fruit; citrus,"Family, Students, Workers",Snack / flavoring,Vegan; contains citrus,Calamansi (Citrus microcarpa) ? fresh fruit flesh / juice (approximate),4
F064,Durian,Durian,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2023/18/whole-and-halved-durian-fruit-high-angle-on-wooden-boards.jpg.rend.hgtvcom.1280.720.85.suffix/1702934646286.webp,"Fresh rambutan, peeled, flesh only",5 min,100?g,~150,~1.5-2.5,~27-28,~3.5-5.3,~3.5-4.0,~15-20,~2,0,Medium,120,seasonal,Fruit; tropical fruit,"Family, Students, Workers",Snack/Fruit,Vegan; contains durian,Durian (Durio zibethinus) flesh,4
F065,Rambutan,Rambutan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBhR13ADrz4LI2BwhvNyTunZXHwvZtR0_7vg&s,"Fresh rambutan, peeled, flesh only",2 min,150?g,~100-110,~1.6,~31,~0.8,~4.5,~20-22,~2,0,Easy,60,seasonal,Fruit; tropical fruit,"Family, Students, Workers",Snack/Fruit,Vegan; contains rambutan,Rambutan (Nephelium lappaceum) flesh,5
F066,Soursop,Guyabano,https://www.cardenasmarkets.com/wp-content/uploads/fly-images/2535/Guanabana-1464x918-c.jpg,"Fresh soursop fruit known for its sweet-tart flavor and soft, fibrous flesh; commonly eaten raw or used for juices.",1 min,1,66,1,16,0.3,3.3,13,14,0,Easy,30,Seasonal,Tropical fruit,"Students, workers, health-conscious",Snack,"Vegan, gluten-free",,4
F067,Jackfruit,Langka/Nangka,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQZhL1Cb8H5-kv6Zg36Yg3krBDww2dSRmslA&s,"Sweet, fragrant jackfruit flesh commonly eaten fresh or used in Filipino desserts and dishes.",1 min,1,95,1.7,23,0.3,1.5,19,3,0,Easy,25,Seasonal,Tropical fruit,"Students, workers",Snack,"Vegan, gluten-free",,4
F068,Santol,Santol,https://filipinoeggrolls.com/wp-content/uploads/2021/07/santol-1.jpg,Round tropical fruit with a sweet-sour white pulp often eaten fresh or used for sinigang and preserves.,1 min,1,67,0.8,17,0.2,3,13,2,0,Easy,15,Seasonal,Tropical fruit,"Students, families",Snack,"Vegan, gluten-free",,3
F069,"Star apple, green","Kaymito, berde","https://m.media-amazon.com/images/I/6127fO3pY1L._AC_UF1000,1000_QL80_.jpg",Green variety of star apple with sweet gelatinous flesh and smooth texture.,1 min,1,67,0.7,15,0.6,2.2,10,4,0,Easy,15,Seasonal,Tropical fruit,"Students, workers",Snack,"Vegan, gluten-free",,4
F070,"Star apple, purple","Kaymito, murado",https://i.ebayimg.com/images/g/oYgAAOSwhU1kfyPv/s-l400.jpg,"Purple variety of kaymito, known for its rich sweetness and soft, milky pulp.",1 min,1,60,0.6,14,0.5,2,9,4,0,Easy,18,Seasonal,Tropical fruit,"Students, workers",Snack,"Vegan, gluten-free",,5
F071,Sapodilla,Chico,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXE4yQY9l6rj4fF_YDs76KPCn-NBKAJPqRKA&s,"Ripe sapodilla flesh (peeled) ? sweet, grainy texture.",2 min,100 g,94,0.4,20,1.1,5.3,15.6,12,0,Easy,20,year-round,Fruit; dessert/snack,"Students, families, kids",Snack / Dessert,Vegan; gluten-free,Sapodilla (Manilkara zapota) flesh.,4
F072,Dragon fruit,Pitaya,https://fisherscart.com/cdn/shop/products/Dragonfruitred_300x300.png?v=1648373025,Raw dragon fruit flesh (white or red varieties).,2 min,100 g,60,1.2,12.9,0,2.9,7.7,0,0,Easy,50,year-round,Fruit; low-calorie,"Students, health-conscious",Snack/Snack / BreakfastFruit,Vegan; gluten-free,Dragon fruit (Hylocereus spp.) flesh.,4
F073,Black/Java plum,Duhat/Jambolan,https://images.hindustantimes.com/img/2022/05/15/550x309/jamun_thumb_1648561208414_1652626600195.jpg,Raw jamun fruit (Syzygium cumini) ? tart/sweet.,2 min,100 g,~60-80,~0.7-1.7,~14,~0.2-0.3,~0.3-0.9,~8-12,~26,0,Easy,30,seasonal/local,Fruit; traditional,"Families, elders",Snack / Ingredient,Vegan; gluten-free,Jamun (Syzygium cumini) pulp.,3
F074,"Avocado, green","Abokado, berde",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYt5h95aSeOdoBhe2XjaSrkmbxHm02WM5dKw&s,Ripe green avocado flesh (Persea americana) ? high in healthy fats.,3 min,100 g,160,2,8.5,14.7,6.9,0.7-1.0,7,0,Easy,60,year-round,Fruit; high-fat,"Health-conscious, cooks, students ",Breakfast / Snack / Spread,Vegan; contains avocado (high fat),Avocado flesh (generic / USDA values).,5
F075,"Avocado, red","Abokado, murado",https://miamifruit.org/cdn/shop/articles/red_avocado_is_back_miamifruit_1024x.jpg?v=1658158890,Ripe red-skinned avocado ? nutrient profile similar to common avocados (use generic avocado values if no variety data).,3 min,100 g,~160,2,~8.5,~14.7,~6.9,~0.7-1.0,7,0,Easy,70,year-round,Fruit; high-fat,"Health-conscious, premium buyers",Breakfast / Snack / Spread,Vegan; contains avocado (high fat),Avocado (Persea americana) flesh ? variety not differentiated in public databases.,4
F076,Pomelo,Suha/Lukban,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPzwfsRAqerWFys6Jm_ifrceLSUDkdLEXrbA&s,"Peeled pomelo flesh (Citrus maxima) ? mild, citrusy.",4 min,100 g,38-40,0.8-1.0,9.6,0.2,1,8-Jun,10,0,Easy,60,seasonal/year-round,Citrus fruit,"Families, juice makers",Snack / Breakfast,Vegan; gluten-free,Pomelo segments (peeled).,4
F077,"Tamarind, ripe","Sampalok, hinog	",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHJjIDf2D8ZJk88RY0XOfPAH7XpcAuPr5Reg&s,Ripe tamarind pulp (used fresh or as paste) ? sweet-tart and energy-dense.,5 min,100 g,239,2.8,62.5,0.6,5.1,~57,~28,0,Easy,30,year-round,Condiment / ingredient,"Cooks, streetfood vendors",Ingredient / Condiment / Snack,Vegan; gluten-free,Tamarind pulp (Tamarindus indica).,3
F078,Starfruit,Balimbing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCqkg8qKYMx9NSLEybT9FWNm3sElsrWbZZaw&s,"Raw starfruit (carambola) ? crisp, tart-sweet.",2 min,100 g,31,0.6-1.2,6.7-7.9,0.3-0.6,2.0-3.0,4-Mar,4,0,Easy,25,seasonal/year-round,Fruit; low-calorie,"Students, cooks, juice bars",Snack / Garnish,Vegan; contains oxalates (caution for kidney disease),Starfruit (Averrhoa carambola) flesh.,4
F079,Bilimbi,Kamyas/Kamias/Kalamyas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1dMCfwKEJ3R8ZDQCNMLN_XwqDsg0AdJxCEw&s,"Raw bilimbi (Averrhoa bilimbi) ? very sour, used as souring agent.",2 min,100 g,26,0.7,2.8,1.3,0.7,~1,4,0,Easy,20,seasonal/local,Sour fruit; cooking ingredient,"Cooks, households",Ingredient / Condiment,Vegan; extremely sour (not eaten raw commonly),Bilimbi (Averrhoa bilimbi) edible portion.,3
F080,Java apple,Makopa/Wax jambu/Wax apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8YIyzL5pyvddxopgvPxw7fmfdzyMYA_2l6g&s,"Raw water/apple (Syzygium samarangense) ? crunchy, mildly sweet.",2 min,100 g,25,0.6,5.7,0.3,1.1-2.1,~3-5,4-Feb,0,Easy,40,seasonal/local,Fruit; low-calorie,"Students, families",Snack/Fruit,Vegan; gluten-free,Java apple (Syzygium samarangense) flesh.,4
F081,Johey oak,Marang,https://i.pinimg.com/736x/e1/d8/df/e1d8df09e2eca519bdee514b46158d50.jpg,"Fresh marang fruit flesh ? tropical, aromatic, juicy pulp.",2 min,100 g,~100,1.2-1.5,20,0.2-0.3,0.6-1.0,,~1-3,0,Easy,40,seasonal / tropical,Tropical fruit,"Families, fruit-snack lovers",Snack / Fruit,Vegan; gluten-free,Marang fruit flesh (Artocarpus odoratissimus),3
F082,"Apple, green","Mansanas, berde",https://assets.unileversolutions.com/v1/136047056.jpg,"Fresh green apple, whole or sliced, edible with peel ? crisp, sweet-tart.",1 min,100 g,~52-54,0.3-0.6,14-15,0.2-0.5,1.2-2.4,~10-12,~1-3,0,Easy,40,year-round,"Pome fruit, snack","Students, workers, families",Snack / Fruit,Vegan; gluten-free,"Apple (Malus domestica), raw with peel",5
F083,"Apple, red","Mansanas, pula",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS_Db0jJvWe6vYScLksI8qoM2WCeHfJnSBVw&s,"Fresh red apple, whole or sliced ? sweet-crisp texture.",1 min,100 g,~52-54,0.3-0.6,14-15,0.2-0.5,1.2-2.4,~10-12,~1-3,0,Easy,40,year-round,"Pome fruit, snack","Students, workers, families",Snack / Fruit,Vegan; gluten-free,"Apple (Malus domestica), raw with peel",5
F084,Sugar apple/Sweetsop,Atis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvTyKJsYWYePe1B5nGwrUR2tRD9EaQeatKRQ&s,"Fresh sweetsop (custard-like) pulp, eaten ripe ? sweet, soft flesh.",2 min,100 g,94,2.06,23.64,0.29,4.4,,9,0,Easy,30,seasonal/tropical,"Tropical fruit, dessert-fruit","Families, dessert-seekers",Snack / Dessert,Vegan; gluten-free,Sugar apple (Annona squamosa) pulp,4
F085,Cassava,Kamoteng kahoy/Balinghoy,https://image.tuasaude.com/media/article/gr/uw/mandioca_57085.jpg?width=686&height=487,"Peeled, raw cassava (edible portion) ? tuber used boiled or processed.",3 min,100 g,145,0.6,35.3,0.2,1.7,1.6,2 mg,0,Easy,15,year-round,Root vegetable / staple-food,"Households, cooks",Raw / Ingredient,Vegan; gluten-free,Cassava flesh (Manihot esculenta),5
F086,"Cassava, boiled","Kamoteng kahoy/Balinghoy, nilaga",https://www.thecreolemeltingpot.com/wp-content/uploads/2020/03/boiled-cassava1.png,"Boiled cassava root (peeled, boiled, edible portion)",10 min,100 g,~191,1.42,39.6,3.03,1.9,1.78,145,2,Easy,15,year-round,Root vegetable; staple / carbohydrate source,"Households, workers, families",Side / Staple,Vegan; gluten-free,,5
F087,"Cassava, yellow","Kamoteng kahoy/Balinghoy, dilaw",https://maitvfiji.com/wp-content/uploads/2020/06/Beqa-variety-yellow-Cassava.jpg,"Raw cassava root, peeled ? edible after proper processing / cooking",3 min,100 g,~145,0.6,35.3,0.2,1.7,1.6,2 mg,0,Easy,12,year-round,"Root vegetable, raw staple","Households, cooks",Ingredient / Raw food,Vegan; gluten-free,,4
F088,"Sweet potato, purple","Kamote, murado",https://sunkissedkitchen.com/wp-content/uploads/2022/11/how-to-bake-purple-sweet-potatoes.jpg,Raw purple-fleshed sweet potato (before cooking),3 min,100 g,~125,0.6,29.8,0.4,4.2,5.9,1,0,Easy,20,seasonal / local markets,Root tuber; carbohydrate + fiber source,"Families, cooks, health-conscious",Ingredient / Raw food,Vegan; gluten-free,,5
F089,"Sweet potato, purple, boiled","Kamote, murado, nilaga",https://watermark.lovepik.com/photo/20211129/large/lovepik-boiled-purple-sweet-potato-picture_501200818.jpg,Boiled purple-fleshed sweet potato (peeled/cooked),10 min,100 g,122,0.6,29.5,0.2,4,9.1,43,0,Easy,25,seasonal / local markets,Boiled root tuber; staple / side dish,"Households, families",Side / Staple,Vegan; gluten-free,,5
F090,"Sweet potato, white, boiled","Kamote, puti, nilaga",https://static.vecteezy.com/system/resources/previews/024/864/023/large_2x/white-sweet-potato-cooked-by-boiling-vietnamese-food-photo.jpg,Boiled white-fleshed sweet potato,10 min,100 g,126,0.4,29.3,0.8,3.9,9,42,0,Easy,20,seasonal / local markets,Boiled root tuber; staple / side dish,"Households, families",Side / Staple,Vegan; gluten-free,,5
F091,"Sweet potato, yellow, boiled","Kamote, dilaw, nilaga",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS78OELz2heNReIsRZPJekjqQ6Hdc9obCWRyA&s,Boiled yellow sweet potato; soft and sweet,10 min,100 g,86,1.2,20.1,0.1,3,4.2,5,0,Easy,15,year-round,Root tuber; staple,"Families, cooks, students",Snack / Side dish / Breakfast,Vegan; gluten-free,"Yellow sweet potato, water",3
F092,Cassava fritter,"Kamoteng kahoy, maruya",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTIH7BLdtemqUAmK3oWEbzygc7IAWIkYEwgg&s,"Deep-fried cassava fritters, sweet and crispy",20 min,100 g,220,1.5,35,8,2.5,15,50,0,Medium,25,year-round,Snack; fried food,"Students, street food lovers",Snack / Dessert,"Gluten-free (if no wheat), not vegan if eggs used","Cassava, sugar, oil, eggs",4
F093,Cassava pudding,"Kamoteng kahoy, budin",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxSArwB3Pa7zTHq-6oPa9ws-aZOTrYbmd7fQ&s,"Steamed or baked cassava pudding, sweet dessert",30 min,100 g,190,2,32,6,2,10,40,0,Medium,30,year-round,Dessert,"Families, cooks",Dessert / Snack,"Gluten-free, not vegan","Cassava, milk, sugar, eggs",3
F094,"Sweet potato, w/ sugar, fried",Kamote cue,https://www.thekitchenwhisperer.net/wp-content/uploads/2017/06/Candied-Sweet-Potato-Wedges2.jpg,"Caramelized sweet potato on skewers, fried with sugar",15 min,100 g,250,1.2,45,6,3,20,45,0,Easy,25,year-round,Street food; snack,"Street vendors, kids",Snack / Street food,"Gluten-free, vegan-friendly","Sweet potato, sugar, oil",5
F095,"Sweet potato lvs, purple, boiled","Kamote dahon, murado, nilaga",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGPfcC8ZM3WX7B87xwvMHPdiBLwEPOVz6Zqg&s,"Boiled purple sweet potato leaves, nutritious side dish",10 min,100 g,42,3,7,0.5,2,1,15,0,Easy,10,seasonal,Vegetable; leafy greens,"Families, health-conscious",Side dish / Vegetable,Vegan; gluten-free,"Purple sweet potato leaves, water",3
F096,"Sweet potato lvs, boiled","Kamote dahon, nilaga",https://images.healthshots.com/healthshots/en/uploads/2022/11/25114152/sweet-potato-chaat.jpg,Boiled sweet potato leaves; nutritious and high in vitamins,10 min,100 g,42,3,7,0.5,2,1,15,0,Easy,10,seasonal,Leafy vegetable; side dish,"Families, health-conscious",Side dish / Vegetable,Vegan; gluten-free,"Sweet potato leaves, water",3
F097,"Cassava lvs, boiled","Kamoteng kahoy/Balinghoy dahon, nilaga",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsTf_AS15ba3uN679ihm2osY3VAwDJuYQlOg&s,"Boiled cassava leaves, rich in protein and micronutrients",10-15 min,100 g,105,5,20,0.5,4,1.5,20,0,Easy,15,seasonal,Leafy vegetable; side dish,"Families, cooks",Side dish / Vegetable,Vegan; gluten-free,"Cassava leaves, water",3
F098,"Taro, boiled","Gabi, nilaga",https://www.shutterstock.com/image-photo/boiledcooked-taro-fruitsplaced-on-white-600nw-2145772735.jpg,Boiled taro root; starchy and energy-rich tuber,15-20 min,100 g,142,1.5,34,0.1,4,0.5,10,0,Easy,15,year-round,Root tuber; staple,"Families, cooks",Side dish / Vegetable,Vegan; gluten-free,"Taro root, water",4
F099,"Taro lvs, boiled","Gabi dahon, nilaga",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4s5mD3JYV45p5yWfW3TB9011Av7BQaBMEbA&s,Boiled taro leaves; leafy green vegetable high in vitamins,10 min,100 g,36,2,7,0.2,3,1,12,0,Easy,10,seasonal,Leafy vegetable; side dish,"Families, health-conscious",Side dish / Vegetable,Vegan; gluten-free,"Taro leaves, water",2
F100,"Taro petioles, boiled","Gabi tangkay, nilaga	",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiN5ZLXPWqpqlP4ywvnrq74GGF15V6qdqGTg&s,"Boiled taro stems (petioles), commonly eaten as vegetable",10 min,100 g,28,1,6,0.1,2,0.5,10,0,Easy,10,seasonal,Leafy vegetable / stem,"Families, cooks",Side dish / Vegetable,Vegan; gluten-free,"Taro stems, water",2
